ALGOR,CRIT_DIST,ORI_ERROR,time_step,time_horizon,Mean_avoided_collisions,Mean_navigation_time,Mean_CA_time,Mean_distance_travelled,Minimum_avoided_collisions,Minimum_navigation_time,Minimum_CA_time,Minimum_distance_travelled,Maximum_avoided_collisions,Maximum_navigation_time,Maximum_CA_time,Maximum_distance_travelled
2,6.0,0.4,0.1,5.0,92.0,155.41,55.36,53.74,56,128.49,42.09,45.86,140,204.72,81.99,66.55
2,6.0,0.4,0.1,10.0,72.2,139.05,46.19,49.35,48,112.69,29.85,42.34,86,158.0,55.9,56.07
2,6.0,0.4,0.1,20.0,94.6,164.58,60.21,55.99,62,146.28,49.62,49.6,138,196.2,76.37,65.98
2,6.0,0.4,0.5,5.0,40.6,110.19,36.03,40.16,33,99.81,27.36,38.21,52,126.13,49.47,43.76
2,6.0,0.4,0.5,10.0,38.0,110.39,37.03,40.33,28,100.87,24.23,38.2,50,119.51,51.04,43.2
2,6.0,0.4,0.5,20.0,42.2,108.79,34.16,39.39,39,101.69,25.7,37.12,52,116.51,38.63,41.93
2,6.0,0.4,1.0,5.0,30.6,101.9,32.93,36.49,24,96.99,30.25,35.13,36,109.59,34.13,38.97
2,6.0,0.4,1.0,10.0,32.0,102.78,29.87,37.13,28,99.33,22.76,35.92,38,112.59,35.42,39.3
2,6.0,0.4,1.0,20.0,25.8,106.91,35.53,37.73,23,100.3,24.01,35.75,28,117.6,49.99,40.54
2,6.0,0.6,0.1,5.0,76.2,135.56,42.93,48.27,66,122.66,36.34,44.29,88,152.05,51.8,53.26
2,6.0,0.6,0.1,10.0,72.0,135.17,42.89,47.92,63,123.2,35.63,45.74,79,144.86,48.75,50.35
2,6.0,0.6,0.1,20.0,71.6,135.48,42.19,48.44,42,107.42,25.6,41.16,119,172.43,62.97,58.8
2,6.0,0.6,0.5,5.0,32.4,95.26,25.31,37.21,29,90.25,22.61,35.42,36,100.09,27.36,39.31
2,6.0,0.6,0.5,10.0,33.2,94.05,25.45,37.09,30,88.19,24.19,35.64,36,96.25,26.29,37.98
2,6.0,0.6,0.5,20.0,26.0,90.88,24.73,35.92,20,86.93,21.95,34.67,28,95.96,28.05,36.83
2,6.0,0.6,1.0,5.0,23.6,92.98,25.38,35.76,18,84.95,18.82,33.77,31,106.21,29.84,38.18
2,6.0,0.6,1.0,10.0,26.0,89.61,26.39,35.17,17,86.56,22.73,34.16,37,93.84,33.01,36.27
2,6.0,0.6,1.0,20.0,22.6,94.59,27.4,36.35,12,85.05,21.78,34.1,28,102.99,33.74,38.48
2,6.0,0.8,0.1,5.0,36.4,99.66,22.54,39.42,26,92.89,18.73,37.31,49,109.11,29.22,42.52
2,6.0,0.8,0.1,10.0,33.2,97.49,21.69,38.56,28,92.03,20.05,36.85,38,101.09,24.03,39.87
2,6.0,0.8,0.1,20.0,38.2,99.96,23.14,39.42,32,95.72,20.32,38.38,50,103.19,24.84,40.62
2,6.0,0.8,0.5,5.0,21.0,83.44,22.14,34.38,14,82.25,19.27,33.92,30,84.64,24.05,35.19
2,6.0,0.8,0.5,10.0,20.8,84.45,21.58,34.78,17,81.09,17.07,33.84,27,87.61,30.69,36.5
2,6.0,0.8,0.5,20.0,20.4,82.48,20.23,34.2,16,79.25,17.96,33.05,23,85.57,24.08,35.59
2,6.0,0.8,1.0,5.0,16.0,83.26,24.91,35.06,10,80.05,15.03,33.52,22,90.9,38.57,38.91
2,6.0,0.8,1.0,10.0,18.0,81.52,21.77,33.72,14,78.23,17.68,33.05,25,84.78,27.81,34.46
2,6.0,0.8,1.0,20.0,14.2,79.82,25.45,33.21,12,76.58,21.82,31.77,21,85.34,32.85,35.53
2,7.0,0.4,0.1,5.0,16.0,99.79,43.7,35.3,12,93.96,41.14,34.06,19,106.04,49.27,37.31
