%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
1699352180888932598,robot0,1,0,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,2,0,78.3497390747,13.0513334274,37.4941177368,60.7037582397,30.3518791199
1699352181491077292,robot2,1,0,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,3,0,79.0002975464,13.0427436829,38.9111366272,58.8292388916,29.4146194458
1699352182448897305,robot3,1,0,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,2,0,79.8988189697,8.69633674622,33.4635124207,56.9092254639,28.4546127319
1699352191090339499,robot1,1,0,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,5,0,88.598991394,20.9873485565,44.9328804016,60.3426170349,30.1713085175
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
1699352370600774001,robot0,1,1,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,6,0,85.6003036499,23.6041564941,43.751083374,60.5947380066,30.2973690033
1699352416177553727,robot2,1,1,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,9,0,131.201629639,65.8536453247,44.7891044617,58.9578666687,29.4789333344
1699352422812796622,robot1,1,1,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,8,0,137.850280762,52.4912185669,64.8373641968,60.310508728,30.155254364
1699352428631763062,robot3,1,1,1.0,0.5,1.0,5.0,3.0,6.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,12,0,143.650421143,73.5281600952,35.7639770508,56.3303527832,28.1651763916
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
1699352600181219163,robot2,2,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,3,0,60.0008239746,59.9895362854,26.6903038025,58.8807296753,29.4403648376
1699352618505413321,robot0,2,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,3,0,78.2505493164,69.462059021,32.048084259,60.5642929077,30.2821464539
1699352624540812788,robot3,2,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,3,0,84.3490753174,79.0370178223,29.9692230225,56.9069290161,28.4534645081
1699352630318168593,robot1,2,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,3,0,90.0969390869,78.9368438721,33.923160553,60.4327850342,30.2163925171
