%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
1699369719344465284,robot6,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,12,0,114.249137878,42.1679649353,55.1360588074,60.534538269,30.2672691345
1699369721851486740,robot0,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,15,0,116.749847412,62.6387023926,51.1794319153,60.4938926697,30.2469463348
1699369732344822928,robot5,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,14,0,127.252326965,48.5278091431,57.6357574463,58.6122589111,29.3061294556
1699369741167941963,robot3,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,9,0,136.000411987,48.7842597961,54.8423957825,56.5898399353,28.2949199677
1699369745918665935,robot1,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,16,0,140.801956177,57.216999054,70.2597732544,60.5961685181,30.298084259
1699369751662472136,robot7,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,18,0,146.495803833,67.8505096436,66.6784133911,61.0322570801,30.51612854
1699369753377555720,robot4,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,14,0,148.302932739,51.2179145813,68.1900100708,56.3515968323,28.1757984161
1699369754968812302,robot2,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,18,0,149.85307312,59.6960868835,67.6534805298,58.8973922729,29.4486961365
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
1699370092540315268,robot6,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,24,0,188.200653076,114.346672058,52.3163299561,60.4166946411,30.2083473206
1699370104579534125,robot1,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,22,0,200.249832153,98.246635437,94.1567382812,60.3903465271,30.1951732635
1699370122962330838,robot2,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,24,0,218.650146484,120.047927856,91.2165145874,58.704460144,29.352230072
1699370125091217147,robot4,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,26,0,220.751525879,141.634033203,53.5496902466,57.0338821411,28.5169410706
1699370160533108826,robot3,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,29,0,256.20123291,155.731582642,99.0643081665,56.6553421021,28.327671051
1699370171285360226,robot0,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,34,0,266.954406738,142.912246704,121.314064026,60.8841590881,30.4420795441
1699370190580755386,robot7,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,26,0,286.201904297,215.690795898,46.4998016357,61.3685073853,30.6842536926
1699370202539809149,robot5,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,34,0,298.198852539,213.51512146,60.8885612488,58.4378318787,29.2189159393
