%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
"1,69764093879051E+018",robot0,1,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,0,58,0,484.300140381,323.736114502,166.275619507,60.6586341858,30.3293170929
"1,69764093931608E+018",robot2,1,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,0,53,0,484.851470947,290.81362915,196.430938721,58.9206619263,29.4603309631
"1,69764095653373E+018",robot3,1,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,0,50,0,502.000152588,300.111297607,148.107849121,56.6997718811,28.3498859406
"1,69764096137634E+018",robot1,1,0,1.0,0.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,0,72,0,506.900817871,322.011505127,223.822525024,60.2308654785,30.1154327393
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
"1,6976416488907E+018",robot3,1,0,1.0,2.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,1,130,0,567.949157715,329.408233643,234.427642822,56.7894706726,28.3947353363
"1,69764166776159E+018",robot2,1,0,1.0,2.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,1,131,0,586.801086426,342.204833984,246.939468384,58.6726303101,29.336315155
"1,69764168440829E+018",robot1,1,0,1.0,2.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,1,138,0,603.500305176,359.548187256,254.100494385,60.3494529724,30.1747264862
"1,69764168887199E+018",robot0,1,0,1.0,2.5,1.0,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.40000000596,1,136,0,607.901062012,365.146148682,260.11050415,60.7851104736,30.3925552368
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
