%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
"1,69961543294776E+018",robot6,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,20,0,286.299926758,95.858833313,150.376785278,197.087890625,98.5439453125
"1,69961544135324E+018",robot7,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,24,0,294.698852539,99.0995025635,149.970184326,198.503952026,99.2519760132
"1,69961546292128E+018",robot0,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,28,0,316.350524902,107.445220947,165.741973877,196.720870972,98.3604354858
"1,69961547357161E+018",robot1,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,25,0,326.950286865,123.54057312,165.886413574,198.572921753,99.2864608765
"1,69961547925036E+018",robot4,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,23,0,332.649902344,99.2012023926,169.054992676,202.387359619,101.19367981
"1,69961550922954E+018",robot3,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,36,0,362.647735596,126.880371094,173.050048828,202.456466675,101.228233337
"1,69961551852693E+018",robot2,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,25,0,371.950622559,86.4773635864,160.325088501,202.504455566,101.252227783
"1,6996155263814E+018",robot5,1,0,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,27,0,379.799041748,109.171478271,173.368423462,202.447525024,101.223762512
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
"1,6996161397738E+018",robot1,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,15,0,280.599639893,82.4411010742,145.082717896,198.481216431,99.2406082153
"1,6996162024828E+018",robot4,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,12,0,343.298522949,87.1617507935,128.156417847,202.387634277,101.193817139
"1,69961624183278E+018",robot6,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,21,0,382.602050781,140.906188965,175.500991821,197.010467529,98.5052337646
"1,69961629044941E+018",robot2,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,46,0,431.248260498,173.597579956,210.134552002,202.473480225,101.236740112
"1,69961629312965E+018",robot0,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,40,0,433.900787354,184.379089355,219.733718872,196.709747314,98.3548736572
"1,69961632533048E+018",robot7,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,77,0,466.097412109,273.554260254,113.389694214,198.447967529,99.2239837646
"1,69961634841973E+018",robot5,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,68,0,489.249023438,261.150787354,112.28981781,202.418746948,101.209373474
"1,69961637153541E+018",robot3,1,1,1.0,0.5,0.5,5.0,3.0,7.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.800000011921,0,46,0,512.348754883,210.517059326,228.780792236,202.38180542,101.19090271
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
"1,69961698924215E+018",robot7,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,245.949920654,135.328170776,103.414039612,198.44909668,99.2245483398
"1,69961699278363E+018",robot4,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,249.450942993,136.052124023,108.423408508,202.381408691,101.190704346
"1,69961702125029E+018",robot3,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,278.000152588,145.184661865,110.037017822,202.376174927,101.188087463
"1,69961702226537E+018",robot5,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,278.949279785,143.652175903,112.265808105,202.495147705,101.247573853
"1,69961702852191E+018",robot1,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,285.249450684,166.950332642,116.179664612,198.748214722,99.3741073608
"1,69961703012438E+018",robot6,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,286.84866333,166.899276733,113.043922424,196.838409424,98.4192047119
"1,69961703655167E+018",robot0,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,293.302246094,146.550231934,115.374473572,196.789123535,98.3945617676
"1,69961703871472E+018",robot2,2,0,1.0,0.5,0.5,5.0,3.0,20.0,0.5,0.449999988079,0.300000011921,0.15000000596,0.600000023842,0,7,0,295.452941895,139.756118774,108.126434326,202.469665527,101.234832764
%time,field.robot_name,field.ALGOR,field.Stop_AND_Wait,field.W1,field.W2,field.time_step,field.time_horizon,field.sphere_radius,field.CRIT_DIST,field.DES_VEL,field.ROT_VEL,field.K_ROT_MAX,field.K_ROT_MIN,field.ORI_ERROR,field.robot_stuck,field.avoided_collisions,field.fatal_collisions,field.navigation_time,field.CA_time,field.distance_travelled,field.optimal_time,field.optimal_distance_travelled
